0001|Coração é o músculo mais forte.
0002|Por que não ir beber leite quente então?
0003|Primeiro lutamos, depois comemos.
0004|Meu escudo é minha espada.
0005|Tenha coragem.
0006|Quando a coisa ficar feia, você chama Braum.
0007|Pense com calma amizade.
0008|A borda é serventia de Braum.
0009|Você bate igual carneirinho, ainda sem chifres.
0010|Agora eu falo menos e faço mais.
0011|As vezes escudo, vira porta na cara.
0012|Arremeço de encrenqueiro, meu jogo favorito.
0013|Isso sim é diversão.
0014|Me mostre o seu melhor.
0015|Não desanime.
0016|Tire a preocupação de sua cara.
0017|As vezes, batalha é inevitável.
0018|Hoje lutamos um contra outro, amanhã podemos lutar juntos.
0019|Estes sapatos são apertados demais.
0020|Sem surpreender Braum desta vez.
0021|Visão é a chave da vitória, pedra também.
0022|Fogo faz bem para o corpo.
0023|Hahahaha, gostoso e tostado.
0024|Eu sempre quis capa em chamas.
0025|Haha, agora eu preciso de marshmallow.
0026|Para amigos, eu sou neve. Para inimigos, avalanche.
0027|Ahh, perfeito. Meu escudo protege este escudo.
0028|Um escudo para meu escudo? Eu gosto.
0029|Isso tem cheiro de terra muito distante, talvez eu devesse visitar um dia.
0030|Bons momentos, bons amigos, o que pode ser melhor?
0031|Se insiste em brigar, pode contar comigo.
0032|Ah, ja vamos começar a brigar.
0033|Bem... o que pode aprender com brigar?
0034|Ahh, novos começos.
0035|Vamos nessa.
0036|Podemos começar?
0037|Hoje o dia será empolgante.
0038|Sempre traga Braum.
0039|Mundo difícil lá fora.
0040|Siga-me amigos.
0041|Eles podem ter muitos, mas você tem eu.
0042|Coma, coma e fique forte!
0043|Treino muito, pequeno Poro.
0044|Um dia você será forte igual, uh... bebê.
0045|Quando a vida dá leite coalhado, tenha paciência, você consegue queijo muito bom! He he he he he.
0046|Cabras são espertas. Come tudo! Sobem tudo! E atacam se são atacadas.
0047|Mamãe sempre dizia: "Flutue igual iceberg, machuque igual iceberg arremessado."
0048|Às vezes coração frio só precisa de um sorriso quente.
0049|Braum cuida disso.
0050|Será que é o bigode? Quem sabe..
0051|Mexam-se igual rebanho.
0052|Você está salvo com Braum.
0053|Até a porta mais pesada pode ser aberta.
0054|Se tiver problema, venha à mim primeiro.
0055|Mamãe sempre dizia: "Não perca!"
0056|Quanto mais escura a noite, mais brilhante as estrelas.
0057|Sem tempo para me preocupar.
0058|A vida é boa, não é?
0059|O que será que tem pela frente?
0060|Você sempre pode confiar em Braum.
0061|Ahh, voltando para casa.
0062|Ah ha ha ha, hora do lanche!
0063|Voltar eu vou!
0064|Viu? Não foi tão ruim assim.
0065|Braum vive mais um dia.
0066|É.. muito importante descansar um pouco.
0067|Bata igual carneiro.
0068|Uh! Ah! Uh! Uhh!
0069|Você achou que estava com problemas.
0070|Braum está aqui.
0071|Fique atrás de Braum.
0072|É fácil, viu?
0073|Não tão rápido.
0074|Ahhhh..
0075|Brisa refrescante do mar.
0076|Ahh que ventania hoje, estou tendo arrepios!
0077|Bom tiro.. você acerta na próxima.
0078|Se você não conseguir na primeira, poderia me contar como é?
0079|Não se preocupe, Braum estava só aquecendo.
0080|Você me lembra da Mimosa, melhor vaca de casa.
0081|Ei Alistar, vou te apresentar minha vaquinha.
0082|Mamãe também me deu ursinho quando criança, Annie.
0083|Depois dessa, vamos tomar uma.
0084|Gosta de leite de cabra?
0085|Vai de quê, Gragas? Eu vou de leite.
0086|Tryndamere, isso é divertido, não é?
0087|Você está se divertindo meu amigo?
0088|Seu cabelo... não vemos coisas assim em Freljord.
