audio_file|text
wav/0001.wav|Coração é o músculo mais forte.
wav/0002.wav|Por que não ir beber leite quente então?
wav/0003.wav|Primeiro lutamos, depois comemos.
wav/0004.wav|Meu escudo é minha espada.
wav/0005.wav|Tenha coragem.
wav/0006.wav|Quando a coisa ficar feia, você chama Braum.
wav/0007.wav|Pense com calma amizade.
wav/0008.wav|A borda é serventia de Braum.
wav/0009.wav|Você bate igual carneirinho, ainda sem chifres.
wav/0010.wav|Agora eu falo menos e faço mais.
wav/0011.wav|As vezes escudo, vira porta na cara.
wav/0012.wav|Arremeço de encrenqueiro, meu jogo favorito.
wav/0013.wav|Isso sim é diversão.
wav/0014.wav|Me mostre o seu melhor.
wav/0015.wav|Não desanime.
wav/0016.wav|Tire a preocupação de sua cara.
wav/0017.wav|As vezes, batalha é inevitável.
wav/0018.wav|Hoje lutamos um contra outro, amanhã podemos lutar juntos.
wav/0019.wav|Estes sapatos são apertados demais.
wav/0020.wav|Sem surpreender Braum desta vez.
wav/0021.wav|Visão é a chave da vitória, pedra também.
wav/0022.wav|Fogo faz bem para o corpo.
wav/0023.wav|Hahahaha, gostoso e tostado.
wav/0024.wav|Eu sempre quis capa em chamas.
wav/0025.wav|Haha, agora eu preciso de marshmallow.
wav/0026.wav|Para amigos, eu sou neve. Para inimigos, avalanche.
wav/0027.wav|Ahh, perfeito. Meu escudo protege este escudo.
wav/0028.wav|Um escudo para meu escudo? Eu gosto.
wav/0029.wav|Isso tem cheiro de terra muito distante, talvez eu devesse visitar um dia.
wav/0030.wav|Bons momentos, bons amigos, o que pode ser melhor?
wav/0031.wav|Se insiste em brigar, pode contar comigo.
wav/0032.wav|Ah, ja vamos começar a brigar.
wav/0033.wav|Bem... o que pode aprender com brigar?
wav/0034.wav|Ahh, novos começos.
wav/0035.wav|Vamos nessa.
wav/0036.wav|Podemos começar?
wav/0037.wav|Hoje o dia será empolgante.
wav/0038.wav|Sempre traga Braum.
wav/0039.wav|Mundo difícil lá fora.
wav/0040.wav|Siga-me amigos.
wav/0041.wav|Eles podem ter muitos, mas você tem eu.
wav/0042.wav|Coma, coma e fique forte!
wav/0043.wav|Treino muito, pequeno Poro.
wav/0044.wav|Um dia você será forte igual, uh... bebê.
wav/0045.wav|Quando a vida dá leite coalhado, tenha paciência, você consegue queijo muito bom! He he he he he.
wav/0046.wav|Cabras são espertas. Come tudo! Sobem tudo! E atacam se são atacadas.
wav/0047.wav|Mamãe sempre dizia: "Flutue igual iceberg, machuque igual iceberg arremessado."
wav/0048.wav|Às vezes coração frio só precisa de um sorriso quente.
wav/0049.wav|Braum cuida disso.
wav/0050.wav|Será que é o bigode? Quem sabe..
wav/0051.wav|Mexam-se igual rebanho.
wav/0052.wav|Você está salvo com Braum.
wav/0053.wav|Até a porta mais pesada pode ser aberta.
wav/0054.wav|Se tiver problema, venha à mim primeiro.
wav/0055.wav|Mamãe sempre dizia: "Não perca!"
wav/0056.wav|Quanto mais escura a noite, mais brilhante as estrelas.
wav/0057.wav|Sem tempo para me preocupar.
wav/0058.wav|A vida é boa, não é?
wav/0059.wav|O que será que tem pela frente?
wav/0060.wav|Você sempre pode confiar em Braum.
wav/0061.wav|Ahh, voltando para casa.
wav/0062.wav|Ah ha ha ha, hora do lanche!
wav/0063.wav|Voltar eu vou!
wav/0064.wav|Viu? Não foi tão ruim assim.
wav/0065.wav|Braum vive mais um dia.
wav/0066.wav|É.. muito importante descansar um pouco.
wav/0067.wav|Bata igual carneiro.
wav/0068.wav|Uh! Ah! Uh! Uhh!
wav/0069.wav|Você achou que estava com problemas.
wav/0070.wav|Braum está aqui.
wav/0071.wav|Fique atrás de Braum.
wav/0072.wav|É fácil, viu?
wav/0073.wav|Não tão rápido.
wav/0074.wav|Ahhhh..
wav/0075.wav|Brisa refrescante do mar.
wav/0076.wav|Ahh que ventania hoje, estou tendo arrepios!
wav/0077.wav|Bom tiro.. você acerta na próxima.
wav/0078.wav|Se você não conseguir na primeira, poderia me contar como é?
wav/0079.wav|Não se preocupe, Braum estava só aquecendo.
wav/0080.wav|Você me lembra da Mimosa, melhor vaca de casa.
wav/0081.wav|Ei Alistar, vou te apresentar minha vaquinha.
wav/0082.wav|Mamãe também me deu ursinho quando criança, Annie.
wav/0083.wav|Depois dessa, vamos tomar uma.
wav/0084.wav|Gosta de leite de cabra?
wav/0085.wav|Vai de quê, Gragas? Eu vou de leite.
wav/0086.wav|Tryndamere, isso é divertido, não é?
wav/0087.wav|Você está se divertindo meu amigo?
wav/0088.wav|Seu cabelo... não vemos coisas assim em Freljord.
